10.02, 1, predator
10.02, 1, prey
20.02, 2, predator
20.02, 2, prey
30.02, 2, predator
30.02, 2, prey
40.02, 4, predator
40.02, 4, prey
50.02, 4, predator
50.02, 4, prey
60.02, 8, predator
60.02, 8, prey
70.02, 11, predator
70.02, 10, prey
80.02, 16, predator
80.02, 16, prey
90.02, 27, predator
90.02, 24, prey
100.02, 30, predator
100.02, 25, prey
110.02, 53, predator
110.02, 36, prey
120.02, 61, predator
120.02, 40, prey
130.02, 106, predator
130.02, 54, prey
140.02, 140, predator
140.02, 65, prey
150.02, 190, predator
150.02, 80, prey
160.02, 270, predator
160.02, 90, prey
170.02, 333, predator
170.02, 119, prey
180.02, 509, predator
180.02, 160, prey
190.02, 627, predator
190.02, 188, prey
