10.02, 1, predator
10.02, 1, prey
20.02, 1, predator
20.02, 2, prey
30.02, 2, predator
30.02, 2, prey
40.02, 3, predator
40.02, 4, prey
50.02, 4, predator
50.02, 4, prey
60.02, 7, predator
60.02, 8, prey
70.02, 9, predator
70.02, 12, prey
80.02, 14, predator
80.02, 16, prey
90.02, 20, predator
90.02, 23, prey
100.02, 29, predator
100.02, 29, prey
110.02, 39, predator
110.02, 44, prey
120.02, 53, predator
120.02, 51, prey
130.02, 78, predator
130.02, 77, prey
140.02, 102, predator
140.02, 89, prey
150.02, 145, predator
150.02, 127, prey
160.02, 184, predator
160.02, 159, prey
170.02, 250, predator
170.02, 220, prey
180.02, 341, predator
180.02, 301, prey
190.02, 463, predator
190.02, 390, prey
