10.02,1,predator
10.02,1,middleorg
10.02,1,prey
20.02,2,predator
20.02,2,middleorg
20.02,2,prey
30.02,2,predator
30.02,2,middleorg
30.02,2,prey
40.02,4,predator
40.02,3,middleorg
40.02,3,prey
50.02,4,predator
50.02,3,middleorg
50.02,4,prey
60.02,8,predator
60.02,5,middleorg
60.02,7,prey
70.02,9,predator
70.02,7,middleorg
70.02,9,prey
80.02,16,predator
80.02,10,middleorg
80.02,15,prey
90.02,25,predator
90.02,17,middleorg
90.02,20,prey
100.02,29,predator
100.02,20,middleorg
100.02,31,prey
110.02,49,predator
110.02,27,middleorg
110.02,45,prey
120.02,56,predator
120.02,33,middleorg
120.02,61,prey
130.02,85,predator
130.02,44,middleorg
130.02,93,prey
140.02,102,predator
140.02,59,middleorg
140.02,127,prey
150.02,145,predator
150.02,61,middleorg
150.02,193,prey
160.02,202,predator
160.02,90,middleorg
160.02,266,prey
170.02,244,predator
170.02,110,middleorg
170.02,393,prey
