10.02, 1, predator
10.02, 1, prey
20.02, 2, predator
20.02, 2, prey
30.02, 2, predator
30.02, 2, prey
40.02, 4, predator
40.02, 4, prey
50.02, 4, predator
50.02, 4, prey
60.02, 8, predator
60.02, 8, prey
70.02, 14, predator
70.02, 11, prey
80.02, 16, predator
80.02, 15, prey
90.02, 26, predator
90.02, 20, prey
100.02, 30, predator
100.02, 21, prey
110.02, 54, predator
110.02, 31, prey
120.02, 64, predator
120.02, 30, prey
130.02, 96, predator
130.02, 45, prey
140.02, 130, predator
140.02, 46, prey
150.02, 179, predator
150.02, 53, prey
160.02, 266, predator
160.02, 57, prey
170.02, 326, predator
170.02, 65, prey
180.02, 493, predator
180.02, 79, prey
190.02, 612, predator
190.02, 87, prey
200.02, 881, predator
200.02, 94, prey
