10.02, 1, predator
10.02, 1, prey
20.02, 1, predator
20.02, 2, prey
30.02, 2, predator
30.02, 2, prey
40.02, 2, predator
40.02, 4, prey
50.02, 4, predator
50.02, 4, prey
60.02, 4, predator
60.02, 8, prey
70.02, 8, predator
70.02, 10, prey
80.02, 10, predator
80.02, 16, prey
90.02, 16, predator
90.02, 23, prey
100.02, 23, predator
100.02, 33, prey
110.02, 30, predator
110.02, 52, prey
120.02, 52, predator
120.02, 67, prey
130.02, 61, predator
130.02, 104, prey
140.02, 96, predator
140.02, 133, prey
150.02, 111, predator
150.02, 201, prey
160.02, 164, predator
160.02, 277, prey
170.02, 225, predator
170.02, 406, prey
180.02, 291, predator
180.02, 587, prey
